win_lose,y_col,y_row,r_col,r_row,y_def,y_n,y_atk,r_def,r_n,r_atk,turn,g_type
Lose,4.57,1.57,3.86,1.57,28.57142857142857%,71.42857142857143%,0.0%,14.285714285714285%,57.14285714285714%,28.57142857142857%,14,Sim
Win,4.4,2.73,3.93,2.64,33.33333333333333%,53.333333333333336%,13.333333333333334%,21.428571428571427%,71.42857142857143%,7.142857142857142%,29,Sim
Win,5.36,2.64,4.7,2.4,27.27272727272727%,54.54545454545454%,18.181818181818183%,60.0%,40.0%,0.0%,21,Sim
Lose,4.42,2.33,4.08,2.83,58.333333333333336%,41.66666666666667%,0.0%,33.33333333333333%,25.0%,41.66666666666667%,24,Sim
Win,2.62,2.12,3.29,1.86,12.5%,62.5%,25.0%,42.857142857142854%,57.14285714285714%,0.0%,15,Sim
Win,3.77,2.77,3.75,2.92,15.384615384615385%,76.92307692307693%,7.6923076923076925%,25.0%,75.0%,0.0%,25,Sim
Win,3.69,2.54,4.08,2.75,15.384615384615385%,76.92307692307693%,7.6923076923076925%,16.666666666666664%,83.33333333333334%,0.0%,25,Sim
Lose,3.5,2,3.6,2.2,20.0%,80.0%,0.0%,10.0%,80.0%,10.0%,20,Sim
Win,5.17,3,4.82,2.64,25.0%,50.0%,25.0%,36.36363636363637%,54.54545454545454%,9.090909090909092%,23,Sim
Win,3.2,2.4,3.33,2.78,10.0%,60.0%,30.0%,44.44444444444444%,55.55555555555556%,0.0%,19,Sim
Win,4.06,2.94,4.29,3.18,16.666666666666664%,72.22222222222221%,11.11111111111111%,52.94117647058824%,47.05882352941176%,0.0%,35,Sim
Lose,3.89,1.89,3.56,2.22,11.11111111111111%,88.88888888888889%,0.0%,44.44444444444444%,44.44444444444444%,11.11111111111111%,18,Sim
Win,4.33,2.93,3.64,2.5,33.33333333333333%,60.0%,6.666666666666667%,42.857142857142854%,57.14285714285714%,0.0%,29,Sim
Win,4.06,2.88,4.56,3.06,17.647058823529413%,76.47058823529412%,5.88235294117647%,25.0%,68.75%,6.25%,33,Sim
Win,4,3.33,4.18,3,22.22222222222222%,72.22222222222221%,5.555555555555555%,35.294117647058826%,64.70588235294117%,0.0%,35,Sim
Lose,4,2,3.9,2.8,40.0%,60.0%,0.0%,30.0%,50.0%,20.0%,20,Sim
Win,2.78,2.22,3.12,2.25,11.11111111111111%,44.44444444444444%,44.44444444444444%,50.0%,50.0%,0.0%,17,Sim
Win,5.25,2.38,4.43,2.29,12.5%,62.5%,25.0%,57.14285714285714%,42.857142857142854%,0.0%,15,Sim
Win,4.29,3,4,2.85,35.714285714285715%,50.0%,14.285714285714285%,53.84615384615385%,38.46153846153847%,7.6923076923076925%,27,Sim
Lose,3.78,2.33,3.56,2.11,44.44444444444444%,44.44444444444444%,11.11111111111111%,22.22222222222222%,66.66666666666666%,11.11111111111111%,18,Sim
Win,3.56,2.22,4.25,2.62,33.33333333333333%,55.55555555555556%,11.11111111111111%,25.0%,75.0%,0.0%,17,Sim
Lose,4.33,1.83,5,2.17,16.666666666666664%,83.33333333333334%,0.0%,33.33333333333333%,66.66666666666666%,0.0%,12,Sim
Win,4.18,2,4.3,2.4,18.181818181818183%,72.72727272727273%,9.090909090909092%,20.0%,80.0%,0.0%,21,Sim
Lose,4.79,2.5,4.5,3.14,57.14285714285714%,42.857142857142854%,0.0%,35.714285714285715%,35.714285714285715%,28.57142857142857%,28,Sim
Win,2.75,2.92,2.73,3,8.333333333333332%,83.33333333333334%,8.333333333333332%,45.45454545454545%,54.54545454545454%,0.0%,23,Sim
Win,4.07,2.6,3.93,3.07,26.666666666666668%,53.333333333333336%,20.0%,64.28571428571429%,35.714285714285715%,0.0%,29,Sim
Lose,3.86,2.64,4,2.71,28.57142857142857%,71.42857142857143%,0.0%,14.285714285714285%,78.57142857142857%,7.142857142857142%,28,Sim
Lose,3.11,2,3.67,2.67,22.22222222222222%,66.66666666666666%,11.11111111111111%,44.44444444444444%,33.33333333333333%,22.22222222222222%,18,Sim
Win,4,2.55,3.8,2.6,27.27272727272727%,54.54545454545454%,18.181818181818183%,30.0%,60.0%,10.0%,21,Sim
Lose,3.38,3.06,3.44,3.38,37.5%,56.25%,6.25%,37.5%,50.0%,12.5%,32,Sim
Win,3.92,2.62,4.08,2.5,23.076923076923077%,53.84615384615385%,23.076923076923077%,33.33333333333333%,66.66666666666666%,0.0%,25,Sim
Win,3.4,3.1,3.67,2.67,20.0%,70.0%,10.0%,11.11111111111111%,77.77777777777779%,11.11111111111111%,19,Sim
Lose,3.62,2.5,4.19,3.38,31.25%,62.5%,6.25%,43.75%,50.0%,6.25%,32,Sim
Lose,3.3,2.9,4.1,2.1,20.0%,80.0%,0.0%,10.0%,70.0%,20.0%,20,Sim
Win,3.55,2.27,3.2,2.3,18.181818181818183%,54.54545454545454%,27.27272727272727%,40.0%,60.0%,0.0%,21,Sim
Win,4.33,3.07,4.07,2.93,13.333333333333334%,73.33333333333333%,13.333333333333334%,21.428571428571427%,78.57142857142857%,0.0%,29,Sim
Lose,3,2.5,3.33,2.67,33.33333333333333%,50.0%,16.666666666666664%,33.33333333333333%,58.333333333333336%,8.333333333333332%,24,Sim
Win,3.31,3.19,3.6,3.07,25.0%,50.0%,25.0%,53.333333333333336%,46.666666666666664%,0.0%,31,Sim
Win,4,2.67,3.27,2.82,8.333333333333332%,83.33333333333334%,8.333333333333332%,36.36363636363637%,54.54545454545454%,9.090909090909092%,23,Sim
Win,3.2,2.1,3.56,2,10.0%,70.0%,20.0%,33.33333333333333%,66.66666666666666%,0.0%,19,Sim
Win,3.92,2.62,4.08,2.67,30.76923076923077%,61.53846153846154%,7.6923076923076925%,25.0%,75.0%,0.0%,25,Sim
Lose,4.4,2.8,4.4,2.93,6.666666666666667%,86.66666666666667%,6.666666666666667%,26.666666666666668%,60.0%,13.333333333333334%,30,Sim
Draw,4.19,3.29,3.81,3.71,28.57142857142857%,66.66666666666666%,4.761904761904762%,28.57142857142857%,66.66666666666666%,4.761904761904762%,42,Sim
Lose,4,2,3.62,2.25,25.0%,75.0%,0.0%,12.5%,75.0%,12.5%,16,Sim
Lose,4.14,2.86,4.5,2.64,21.428571428571427%,78.57142857142857%,0.0%,28.57142857142857%,64.28571428571429%,7.142857142857142%,28,Sim
Win,4.31,2.69,3.83,2.58,7.6923076923076925%,69.23076923076923%,23.076923076923077%,41.66666666666667%,50.0%,8.333333333333332%,25,Sim
Win,3.78,2.33,4.12,2,22.22222222222222%,66.66666666666666%,11.11111111111111%,37.5%,62.5%,0.0%,17,Sim
Lose,5,2.67,4.42,2.75,16.666666666666664%,75.0%,8.333333333333332%,16.666666666666664%,75.0%,8.333333333333332%,24,Sim
Lose,3.53,3.18,3.82,3.24,52.94117647058824%,47.05882352941176%,0.0%,17.647058823529413%,47.05882352941176%,35.294117647058826%,34,Sim
Lose,4.11,2.33,4.67,2.78,66.66666666666666%,33.33333333333333%,0.0%,33.33333333333333%,55.55555555555556%,11.11111111111111%,18,Sim
Lose,3.88,2.38,3.62,2.38,12.5%,50.0%,37.5%,50.0%,37.5%,12.5%,16,Sim
Lose,2.6,2.3,3.2,2.5,20.0%,70.0%,10.0%,30.0%,60.0%,10.0%,20,Sim
Win,4.67,1.33,3.6,2,16.666666666666664%,66.66666666666666%,16.666666666666664%,0.0%,100.0%,0.0%,11,Sim
Win,4.88,1.88,4.71,2.14,0.0%,75.0%,25.0%,14.285714285714285%,85.71428571428571%,0.0%,15,Sim
Win,4.06,3.33,3.53,3.06,11.11111111111111%,72.22222222222221%,16.666666666666664%,35.294117647058826%,64.70588235294117%,0.0%,35,Sim
Lose,3.62,3,3.69,2.69,15.384615384615385%,84.61538461538461%,0.0%,23.076923076923077%,69.23076923076923%,7.6923076923076925%,26,Sim
Win,4,2.43,4.15,3,14.285714285714285%,64.28571428571429%,21.428571428571427%,53.84615384615385%,46.15384615384615%,0.0%,27,Sim
Win,3.85,2.85,3.58,2.58,46.15384615384615%,38.46153846153847%,15.384615384615385%,50.0%,41.66666666666667%,8.333333333333332%,25,Sim
Draw,3.95,3.24,4.05,3.76,28.57142857142857%,61.904761904761905%,9.523809523809524%,42.857142857142854%,42.857142857142854%,14.285714285714285%,42,Sim
Lose,4.14,1.57,4.14,2,0.0%,85.71428571428571%,14.285714285714285%,28.57142857142857%,57.14285714285714%,14.285714285714285%,14,Sim
Win,4.78,2,4.75,2,22.22222222222222%,55.55555555555556%,22.22222222222222%,37.5%,62.5%,0.0%,17,Sim
Lose,3.58,2.67,3.5,2.5,16.666666666666664%,58.333333333333336%,25.0%,41.66666666666667%,50.0%,8.333333333333332%,24,Sim
Lose,4.15,3.1,3.85,3.7,25.0%,70.0%,5.0%,25.0%,70.0%,5.0%,40,Sim
Win,4.05,3.24,3.95,3.65,33.33333333333333%,61.904761904761905%,4.761904761904762%,55.00000000000001%,45.0%,0.0%,41,Sim
Lose,3.94,2.81,3.94,3.25,25.0%,75.0%,0.0%,37.5%,56.25%,6.25%,32,Sim
Lose,4.38,3.06,4.06,3.06,31.25%,68.75%,0.0%,37.5%,56.25%,6.25%,32,Sim
Win,4.06,2.82,3.81,3.12,23.52941176470588%,58.82352941176471%,17.647058823529413%,43.75%,56.25%,0.0%,33,Sim
Win,4.31,2.85,3.58,2.5,23.076923076923077%,69.23076923076923%,7.6923076923076925%,33.33333333333333%,66.66666666666666%,0.0%,25,Sim
Lose,3.88,2.82,3.35,3.41,35.294117647058826%,64.70588235294117%,0.0%,29.411764705882355%,52.94117647058824%,17.647058823529413%,34,Sim
Win,3.78,1.89,4,2.75,11.11111111111111%,77.77777777777779%,11.11111111111111%,25.0%,75.0%,0.0%,17,Sim
Win,4.3,2.2,4.56,2.56,30.0%,60.0%,10.0%,33.33333333333333%,66.66666666666666%,0.0%,19,Sim
Win,3.93,2.86,4.46,2.69,14.285714285714285%,78.57142857142857%,7.142857142857142%,15.384615384615385%,84.61538461538461%,0.0%,27,Sim
Lose,3.67,2,4.11,2.44,22.22222222222222%,77.77777777777779%,0.0%,33.33333333333333%,55.55555555555556%,11.11111111111111%,18,Sim
Win,4.32,3.26,3.83,3.11,42.10526315789473%,52.63157894736842%,5.263157894736842%,61.111111111111114%,38.88888888888889%,0.0%,37,Sim
Win,4.38,2.88,4.6,3.13,25.0%,68.75%,6.25%,26.666666666666668%,73.33333333333333%,0.0%,31,Sim
Win,3.5,1.7,2.89,2.89,10.0%,70.0%,20.0%,55.55555555555556%,44.44444444444444%,0.0%,19,Sim
Lose,3.5,2.64,3.86,2.64,42.857142857142854%,57.14285714285714%,0.0%,28.57142857142857%,64.28571428571429%,7.142857142857142%,28,Sim
Lose,4.21,2.71,3.14,3,35.714285714285715%,57.14285714285714%,7.142857142857142%,28.57142857142857%,64.28571428571429%,7.142857142857142%,28,Sim
Lose,3.62,2.46,3.38,3.38,46.15384615384615%,53.84615384615385%,0.0%,38.46153846153847%,38.46153846153847%,23.076923076923077%,26,Sim
Lose,3.1,2.2,3.2,2.4,30.0%,70.0%,0.0%,30.0%,50.0%,20.0%,20,Sim
Win,3.17,1.5,4.2,2,16.666666666666664%,50.0%,33.33333333333333%,20.0%,80.0%,0.0%,11,Sim
Win,3.93,2.64,3.69,2.77,42.857142857142854%,50.0%,7.142857142857142%,30.76923076923077%,69.23076923076923%,0.0%,27,Sim
Win,3.75,2.12,3.86,1.57,12.5%,75.0%,12.5%,28.57142857142857%,71.42857142857143%,0.0%,15,Sim
Win,3.95,3.3,3.84,3.37,30.0%,60.0%,10.0%,31.57894736842105%,63.1578947368421%,5.263157894736842%,39,Sim
Win,3.93,3,3.69,2.69,35.714285714285715%,57.14285714285714%,7.142857142857142%,23.076923076923077%,61.53846153846154%,15.384615384615385%,27,Sim
Lose,3.6,2.2,3.5,2.3,30.0%,60.0%,10.0%,30.0%,60.0%,10.0%,20,Sim
Lose,3.27,2.73,3.67,2.93,20.0%,80.0%,0.0%,20.0%,73.33333333333333%,6.666666666666667%,30,Sim
Lose,5.45,2.73,5.27,3.45,18.181818181818183%,72.72727272727273%,9.090909090909092%,27.27272727272727%,63.63636363636363%,9.090909090909092%,22,Sim
Lose,4.8,3.33,4.47,2.87,33.33333333333333%,66.66666666666666%,0.0%,40.0%,53.333333333333336%,6.666666666666667%,30,Sim
Win,3.93,2.64,2.92,2.85,28.57142857142857%,50.0%,21.428571428571427%,38.46153846153847%,53.84615384615385%,7.6923076923076925%,27,Sim
Lose,4.17,2.67,3.33,2.92,33.33333333333333%,58.333333333333336%,8.333333333333332%,33.33333333333333%,58.333333333333336%,8.333333333333332%,24,Sim
Lose,3.82,2.64,4,2.73,18.181818181818183%,81.81818181818183%,0.0%,27.27272727272727%,63.63636363636363%,9.090909090909092%,22,Sim
Win,3.83,3.06,3.59,3.18,16.666666666666664%,77.77777777777779%,5.555555555555555%,23.52941176470588%,76.47058823529412%,0.0%,35,Sim
Win,4.21,2.93,4.23,2.46,35.714285714285715%,42.857142857142854%,21.428571428571427%,46.15384615384615%,46.15384615384615%,7.6923076923076925%,27,Sim
Win,4.14,1.86,3.17,1.83,42.857142857142854%,42.857142857142854%,14.285714285714285%,16.666666666666664%,66.66666666666666%,16.666666666666664%,13,Sim
Lose,4.45,2.36,5.09,2.82,36.36363636363637%,63.63636363636363%,0.0%,27.27272727272727%,54.54545454545454%,18.181818181818183%,22,Sim
Win,3.82,2.82,3.8,2.3,9.090909090909092%,72.72727272727273%,18.181818181818183%,10.0%,90.0%,0.0%,21,Sim
Draw,4.24,3.43,3.76,3.57,42.857142857142854%,57.14285714285714%,0.0%,42.857142857142854%,47.61904761904761%,9.523809523809524%,42,Sim
Lose,4.07,2.6,4.6,3.07,26.666666666666668%,73.33333333333333%,0.0%,33.33333333333333%,66.66666666666666%,0.0%,30,Sim
Win,4.36,2.36,3.8,2.2,18.181818181818183%,54.54545454545454%,27.27272727272727%,40.0%,60.0%,0.0%,21,Sim
Lose,3.86,2.86,4.21,3.21,50.0%,42.857142857142854%,7.142857142857142%,28.57142857142857%,57.14285714285714%,14.285714285714285%,28,Sim
Win,3.92,2.75,3.45,2.45,41.66666666666667%,33.33333333333333%,25.0%,54.54545454545454%,45.45454545454545%,0.0%,23,Sim
Win,4,2,4,1.86,37.5%,50.0%,12.5%,14.285714285714285%,57.14285714285714%,28.57142857142857%,15,Sim
Win,4.42,3.37,4,3.17,26.31578947368421%,68.42105263157895%,5.263157894736842%,38.88888888888889%,61.111111111111114%,0.0%,37,Sim
Lose,4.05,3.4,3.95,3.4,30.0%,65.0%,5.0%,35.0%,55.00000000000001%,10.0%,40,Sim
Win,3.41,3.47,3.94,3.06,29.411764705882355%,52.94117647058824%,17.647058823529413%,37.5%,56.25%,6.25%,33,Sim
Lose,3.78,2.11,3.78,2.22,55.55555555555556%,33.33333333333333%,11.11111111111111%,33.33333333333333%,22.22222222222222%,44.44444444444444%,18,Sim
Lose,3.89,1.78,4.11,2,22.22222222222222%,55.55555555555556%,22.22222222222222%,33.33333333333333%,44.44444444444444%,22.22222222222222%,18,Sim
Win,4.19,3.06,4.07,2.93,25.0%,62.5%,12.5%,53.333333333333336%,46.666666666666664%,0.0%,31,Sim
Lose,3.5,2.42,3.58,2.58,25.0%,75.0%,0.0%,25.0%,58.333333333333336%,16.666666666666664%,24,Sim
Lose,5.08,2.92,4.62,2.85,30.76923076923077%,61.53846153846154%,7.6923076923076925%,38.46153846153847%,53.84615384615385%,7.6923076923076925%,26,Sim
Win,3.82,2.18,4.1,2.3,18.181818181818183%,63.63636363636363%,18.181818181818183%,50.0%,50.0%,0.0%,21,Sim
Win,3.25,3.17,2.55,2.73,41.66666666666667%,41.66666666666667%,16.666666666666664%,45.45454545454545%,45.45454545454545%,9.090909090909092%,23,Sim
Lose,4.28,2.94,4,3.39,16.666666666666664%,83.33333333333334%,0.0%,38.88888888888889%,55.55555555555556%,5.555555555555555%,36,Sim
Lose,5.22,1.89,4.33,2.11,11.11111111111111%,88.88888888888889%,0.0%,33.33333333333333%,55.55555555555556%,11.11111111111111%,18,Sim
Win,4.71,1.86,4.33,1.5,0.0%,57.14285714285714%,42.857142857142854%,33.33333333333333%,66.66666666666666%,0.0%,13,Sim
Draw,4.05,3.43,3.95,3.57,47.61904761904761%,52.38095238095239%,0.0%,33.33333333333333%,57.14285714285714%,9.523809523809524%,42,Sim
Lose,4.21,2.36,4.21,2.79,42.857142857142854%,50.0%,7.142857142857142%,35.714285714285715%,42.857142857142854%,21.428571428571427%,28,Sim
Win,4.1,2.2,4.33,2.11,20.0%,60.0%,20.0%,44.44444444444444%,55.55555555555556%,0.0%,19,Sim
Win,4.08,2.69,3.92,2.92,38.46153846153847%,53.84615384615385%,7.6923076923076925%,25.0%,66.66666666666666%,8.333333333333332%,25,Sim
Lose,4.8,2.5,4.7,2.5,20.0%,80.0%,0.0%,10.0%,80.0%,10.0%,20,Sim
Win,4.3,2.4,4.11,2.11,30.0%,60.0%,10.0%,22.22222222222222%,66.66666666666666%,11.11111111111111%,19,Sim
Win,3.89,3.06,4.12,3.24,5.555555555555555%,83.33333333333334%,11.11111111111111%,29.411764705882355%,70.58823529411765%,0.0%,35,Sim
Lose,4.4,2.8,4,2.73,33.33333333333333%,66.66666666666666%,0.0%,40.0%,53.333333333333336%,6.666666666666667%,30,Sim
Draw,3.71,3.43,4.29,3.57,23.809523809523807%,71.42857142857143%,4.761904761904762%,28.57142857142857%,66.66666666666666%,4.761904761904762%,42,Sim
Win,4,2.46,4.17,2.42,38.46153846153847%,53.84615384615385%,7.6923076923076925%,50.0%,33.33333333333333%,16.666666666666664%,25,Sim
Win,3.93,3.07,2.85,2.54,28.57142857142857%,64.28571428571429%,7.142857142857142%,15.384615384615385%,76.92307692307693%,7.6923076923076925%,27,Sim
Draw,4.05,3.48,3.95,3.52,23.809523809523807%,71.42857142857143%,4.761904761904762%,28.57142857142857%,71.42857142857143%,0.0%,42,Sim
Win,4.67,2,4.6,1.8,33.33333333333333%,50.0%,16.666666666666664%,0.0%,100.0%,0.0%,11,Sim
Win,3.76,3,4.56,3.06,29.411764705882355%,64.70588235294117%,5.88235294117647%,31.25%,62.5%,6.25%,33,Sim
Draw,4.1,3.29,3.9,3.71,19.047619047619047%,71.42857142857143%,9.523809523809524%,38.095238095238095%,61.904761904761905%,0.0%,42,Sim
Win,4.75,1.75,4.57,1.86,12.5%,75.0%,12.5%,42.857142857142854%,57.14285714285714%,0.0%,15,Sim
Win,4.2,3.07,4.29,2.64,13.333333333333334%,80.0%,6.666666666666667%,28.57142857142857%,71.42857142857143%,0.0%,29,Sim
Lose,3,1.5,3.5,1.67,16.666666666666664%,83.33333333333334%,0.0%,16.666666666666664%,50.0%,33.33333333333333%,12,Sim
Win,3.65,3.29,4.19,3,11.76470588235294%,76.47058823529412%,11.76470588235294%,18.75%,81.25%,0.0%,33,Sim
Lose,3.43,3.14,3.79,2.79,21.428571428571427%,78.57142857142857%,0.0%,21.428571428571427%,71.42857142857143%,7.142857142857142%,28,Sim
Lose,4.38,2.46,4.69,2.85,30.76923076923077%,69.23076923076923%,0.0%,23.076923076923077%,69.23076923076923%,7.6923076923076925%,26,Sim
Win,3.25,1.88,3.14,1.71,12.5%,62.5%,25.0%,28.57142857142857%,71.42857142857143%,0.0%,15,Sim
Lose,2.73,2.73,2.45,3.09,18.181818181818183%,72.72727272727273%,9.090909090909092%,27.27272727272727%,63.63636363636363%,9.090909090909092%,22,Sim
Lose,4.06,3.18,4.12,3.06,23.52941176470588%,76.47058823529412%,0.0%,29.411764705882355%,64.70588235294117%,5.88235294117647%,34,Sim
Win,3.8,2.6,3.78,2.78,30.0%,60.0%,10.0%,22.22222222222222%,77.77777777777779%,0.0%,19,Sim
Win,3.7,2.1,4.33,2.33,30.0%,60.0%,10.0%,44.44444444444444%,55.55555555555556%,0.0%,19,Sim
Win,3.1,2.2,2.89,2.78,20.0%,60.0%,20.0%,55.55555555555556%,44.44444444444444%,0.0%,19,Sim
Lose,3.71,2.71,3.86,3.14,50.0%,50.0%,0.0%,35.714285714285715%,42.857142857142854%,21.428571428571427%,28,Sim
Win,4.23,2.62,4.17,2.42,15.384615384615385%,69.23076923076923%,15.384615384615385%,50.0%,50.0%,0.0%,25,Sim
Win,5.1,2,3.67,2.33,20.0%,60.0%,20.0%,55.55555555555556%,44.44444444444444%,0.0%,19,Sim
Win,3.64,2.91,3.7,2.8,9.090909090909092%,81.81818181818183%,9.090909090909092%,20.0%,80.0%,0.0%,21,Sim
Win,4.47,2.73,4.43,2.93,6.666666666666667%,80.0%,13.333333333333334%,28.57142857142857%,71.42857142857143%,0.0%,29,Sim
Lose,4.3,2.4,3.9,2.2,40.0%,60.0%,0.0%,30.0%,60.0%,10.0%,20,Sim
Win,3.27,2.18,3.6,2.7,18.181818181818183%,63.63636363636363%,18.181818181818183%,40.0%,60.0%,0.0%,21,Sim
Win,3.55,2.55,4.4,2.5,18.181818181818183%,72.72727272727273%,9.090909090909092%,30.0%,70.0%,0.0%,21,Sim
Win,5,1.67,4.8,1.6,0.0%,83.33333333333334%,16.666666666666664%,20.0%,80.0%,0.0%,11,Sim
Lose,3.86,2.71,4.29,2.71,7.142857142857142%,85.71428571428571%,7.142857142857142%,21.428571428571427%,64.28571428571429%,14.285714285714285%,28,Sim
Win,4.08,2.54,3.67,2.33,38.46153846153847%,53.84615384615385%,7.6923076923076925%,25.0%,66.66666666666666%,8.333333333333332%,25,Sim
Win,3.65,3.29,3.38,2.88,35.294117647058826%,58.82352941176471%,5.88235294117647%,31.25%,62.5%,6.25%,33,Sim
Win,4.27,3.33,4.43,3.14,33.33333333333333%,53.333333333333336%,13.333333333333334%,42.857142857142854%,57.14285714285714%,0.0%,29,Sim
Win,3.82,2.36,3.1,2.8,27.27272727272727%,63.63636363636363%,9.090909090909092%,20.0%,80.0%,0.0%,21,Sim
Win,3.58,3.25,3.91,2.55,50.0%,33.33333333333333%,16.666666666666664%,54.54545454545454%,45.45454545454545%,0.0%,23,Sim
Win,4.22,1.78,3,1.88,11.11111111111111%,66.66666666666666%,22.22222222222222%,62.5%,37.5%,0.0%,17,Sim
Lose,4.11,2,3,2.67,11.11111111111111%,88.88888888888889%,0.0%,22.22222222222222%,66.66666666666666%,11.11111111111111%,18,Sim
Lose,4.57,2.71,3.93,2.79,42.857142857142854%,50.0%,7.142857142857142%,35.714285714285715%,50.0%,14.285714285714285%,28,Sim
Lose,3.82,2.65,4,3.41,35.294117647058826%,64.70588235294117%,0.0%,29.411764705882355%,52.94117647058824%,17.647058823529413%,34,Sim
Win,3.3,2.2,3.33,2.22,30.0%,60.0%,10.0%,44.44444444444444%,55.55555555555556%,0.0%,19,Sim
Lose,4.43,2.64,4.5,2.93,28.57142857142857%,71.42857142857143%,0.0%,28.57142857142857%,64.28571428571429%,7.142857142857142%,28,Sim
Win,4.93,3.13,3.93,2.64,26.666666666666668%,66.66666666666666%,6.666666666666667%,35.714285714285715%,57.14285714285714%,7.142857142857142%,29,Sim
Win,3.93,2.71,4.62,2.62,28.57142857142857%,64.28571428571429%,7.142857142857142%,23.076923076923077%,76.92307692307693%,0.0%,27,Sim
Win,3.59,3.18,4.06,3.12,17.647058823529413%,70.58823529411765%,11.76470588235294%,31.25%,68.75%,0.0%,33,Sim
Win,3.86,3.57,4.05,3.3,19.047619047619047%,71.42857142857143%,9.523809523809524%,40.0%,60.0%,0.0%,41,Sim
Lose,4.92,2.67,3.92,2.33,33.33333333333333%,66.66666666666666%,0.0%,16.666666666666664%,66.66666666666666%,16.666666666666664%,24,Sim
Win,3,2,3.67,1.67,0.0%,85.71428571428571%,14.285714285714285%,16.666666666666664%,83.33333333333334%,0.0%,13,Sim
Lose,3.33,1.83,4.33,1.67,16.666666666666664%,83.33333333333334%,0.0%,16.666666666666664%,66.66666666666666%,16.666666666666664%,12,Sim
Win,3.54,2.46,3.17,2.92,30.76923076923077%,61.53846153846154%,7.6923076923076925%,33.33333333333333%,66.66666666666666%,0.0%,25,Sim
Lose,3.69,2.62,3.62,2.38,30.76923076923077%,69.23076923076923%,0.0%,23.076923076923077%,61.53846153846154%,15.384615384615385%,26,Sim
Win,4.44,2.75,3.93,3,12.5%,81.25%,6.25%,40.0%,60.0%,0.0%,31,Sim
Lose,3.94,2.88,3.31,2.94,43.75%,50.0%,6.25%,62.5%,31.25%,6.25%,32,Sim
Win,4,2.57,3.31,2.92,21.428571428571427%,64.28571428571429%,14.285714285714285%,46.15384615384615%,53.84615384615385%,0.0%,27,Sim
Win,3.78,1.89,3.75,2.12,11.11111111111111%,77.77777777777779%,11.11111111111111%,37.5%,50.0%,12.5%,17,Sim
Win,3,2.22,3.88,2,11.11111111111111%,66.66666666666666%,22.22222222222222%,12.5%,87.5%,0.0%,17,Sim
Win,3.17,1.17,4.2,1.8,16.666666666666664%,66.66666666666666%,16.666666666666664%,20.0%,80.0%,0.0%,11,Sim
Win,3.77,2.46,4.17,2.5,23.076923076923077%,69.23076923076923%,7.6923076923076925%,33.33333333333333%,66.66666666666666%,0.0%,25,Sim
Lose,3.27,2.73,3.82,2.64,45.45454545454545%,54.54545454545454%,0.0%,27.27272727272727%,45.45454545454545%,27.27272727272727%,22,Sim
Lose,4.9,2.5,4.8,2.4,40.0%,50.0%,10.0%,40.0%,60.0%,0.0%,20,Sim
Win,4.12,2.94,3.2,3,37.5%,56.25%,6.25%,40.0%,53.333333333333336%,6.666666666666667%,31,Sim
Draw,3.9,3.29,4.1,3.71,33.33333333333333%,66.66666666666666%,0.0%,38.095238095238095%,61.904761904761905%,0.0%,42,Sim
Lose,3.3,2.5,3.9,2.4,50.0%,40.0%,10.0%,30.0%,40.0%,30.0%,20,Sim
Win,4,2,3.62,2,22.22222222222222%,66.66666666666666%,11.11111111111111%,25.0%,75.0%,0.0%,17,Sim
Lose,4.33,2.25,3.92,2.58,8.333333333333332%,83.33333333333334%,8.333333333333332%,41.66666666666667%,50.0%,8.333333333333332%,24,Sim
Draw,4.1,3.67,3.9,3.33,38.095238095238095%,57.14285714285714%,4.761904761904762%,28.57142857142857%,71.42857142857143%,0.0%,42,Sim
Win,3.86,2.86,4.08,3,21.428571428571427%,71.42857142857143%,7.142857142857142%,23.076923076923077%,76.92307692307693%,0.0%,27,Sim
Lose,3.17,2.33,3.5,2.75,25.0%,66.66666666666666%,8.333333333333332%,41.66666666666667%,50.0%,8.333333333333332%,24,Sim
Lose,4.6,1.8,2.8,1.6,0.0%,100.0%,0.0%,20.0%,60.0%,20.0%,10,Sim
Lose,4.3,2.6,4.5,2.3,20.0%,80.0%,0.0%,20.0%,70.0%,10.0%,20,Sim
Lose,4.17,2.08,4.25,2.92,16.666666666666664%,75.0%,8.333333333333332%,41.66666666666667%,50.0%,8.333333333333332%,24,Sim
Win,3.74,3.16,4.11,3.5,15.789473684210526%,68.42105263157895%,15.789473684210526%,50.0%,50.0%,0.0%,37,Sim
Lose,4.14,2.93,4.29,3.36,35.714285714285715%,57.14285714285714%,7.142857142857142%,21.428571428571427%,71.42857142857143%,7.142857142857142%,28,Sim
Lose,4.33,2.5,5.08,2.5,41.66666666666667%,58.333333333333336%,0.0%,25.0%,50.0%,25.0%,24,Sim
Win,3.88,2.81,4.33,2.93,31.25%,50.0%,18.75%,46.666666666666664%,46.666666666666664%,6.666666666666667%,31,Sim
Win,2.57,2.14,2.5,1.83,42.857142857142854%,42.857142857142854%,14.285714285714285%,0.0%,83.33333333333334%,16.666666666666664%,13,Sim
Win,3.09,2.36,2.9,2.6,27.27272727272727%,63.63636363636363%,9.090909090909092%,40.0%,60.0%,0.0%,21,Sim
Win,3.7,2.1,4,2.22,30.0%,50.0%,20.0%,33.33333333333333%,66.66666666666666%,0.0%,19,Sim
